Difficulty,Question,Answer,Hint
1,x + 5 when x = 3,8,Replace x with 3 then add 5
1,x + 7 when x = 4,11,Substitute 4 for x then add 7
1,x - 2 when x = 8,6,Replace x with 8 then subtract 2
1,x + 6 when x = 2,8,Substitute 2 for x then add 6
1,2x when x = 5,10,Multiply 2 by 5
1,3x when x = 4,12,Replace x with 4 then multiply by 3
1,x - 4 when x = 10,6,Substitute 10 for x then subtract 4
1,x + 9 when x = 1,10,Replace x with 1 then add 9
1,4x when x = 3,12,Multiply 4 by 3
1,x - 5 when x = 12,7,Substitute 12 for x then subtract 5
1,5x when x = 2,10,Replace x with 2 then multiply by 5
1,x + 8 when x = 5,13,Substitute 5 for x then add 8
1,6x when x = 2,12,Multiply 6 by 2
1,x - 3 when x = 9,6,Replace x with 9 then subtract 3
1,x + 4 when x = 7,11,Substitute 7 for x then add 4
1,3x when x = 5,15,Multiply 3 by 5
1,x - 1 when x = 6,5,Replace x with 6 then subtract 1
1,7x when x = 2,14,Substitute 2 for x then multiply by 7
1,x + 10 when x = 3,13,Replace x with 3 then add 10
1,4x when x = 5,20,Multiply 4 by 5
1,x - 6 when x = 11,5,Substitute 11 for x then subtract 6
1,2x when x = 8,16,Replace x with 8 then multiply by 2
1,x + 3 when x = 9,12,Substitute 9 for x then add 3
1,5x when x = 3,15,Multiply 5 by 3
1,x - 7 when x = 15,8,Replace x with 15 then subtract 7
2,3x + 5 when x = 4,17,Multiply 3 by 4 first then add 5
2,2x + 7 when x = 5,17,Replace x with 5 then multiply and add
2,4x - 3 when x = 6,21,Multiply 4 by 6 then subtract 3
2,5x + 2 when x = 3,17,Substitute 3 for x then calculate
2,2(x - 3) when x = 7,8,Replace x with 7 then subtract 3 and multiply by 2
2,3(x + 2) when x = 5,21,Substitute 5 for x then add 2 and multiply by 3
2,4x - 5 when x = 4,11,Multiply 4 by 4 then subtract 5
2,6x + 1 when x = 2,13,Replace x with 2 then multiply and add
2,3(x - 1) when x = 6,15,Substitute 6 for x then subtract 1 and multiply by 3
2,2x + 9 when x = 4,17,Multiply 2 by 4 then add 9
2,x² + 2 when x = 3,11,Square 3 first to get 9 then add 2
2,5(x + 1) when x = 3,20,Replace x with 3 then add 1 and multiply by 5
2,4x - 7 when x = 5,13,Multiply 4 by 5 then subtract 7
2,3x + 8 when x = 2,14,Substitute 2 for x then multiply and add
2,2(x + 4) when x = 3,14,Replace x with 3 then add 4 and multiply by 2
2,x² + 5 when x = 4,21,Square 4 to get 16 then add 5
2,6x - 2 when x = 3,16,Multiply 6 by 3 then subtract 2
2,4(x - 2) when x = 6,16,Substitute 6 for x then subtract 2 and multiply by 4
2,7x + 3 when x = 2,17,Replace x with 2 then multiply and add
2,x² - 1 when x = 5,24,Square 5 to get 25 then subtract 1
2,3x + 6 when x = 5,21,Multiply 3 by 5 then add 6
2,5(x - 2) when x = 8,30,Substitute 8 for x then subtract 2 and multiply by 5
2,2x - 4 when x = 7,10,Replace x with 7 then multiply and subtract
2,x² + 3 when x = 2,7,Square 2 to get 4 then add 3
2,4(x + 3) when x = 2,20,Substitute 2 for x then add 3 and multiply by 4
3,2x² - 3x + 1 when x = 4,21,Square 4 first then multiply and combine all terms
3,x² + 4x - 5 when x = 3,16,Square 3 then multiply 4 by 3 and combine
3,2(3x - 1) + 5 when x = 4,27,Replace x with 4 then distribute and add
3,3x² - 2x when x = 3,21,Square 3 to get 9 multiply by 3 then subtract 2 times 3
3,x² - 2x + 7 when x = 4,15,Square 4 then multiply and combine all terms
3,5x² + x - 3 when x = 2,19,Square 2 multiply by 5 then add x and subtract 3
3,3(x + 4) - 2x when x = 6,24,Substitute 6 then distribute and subtract
3,x² + 3x + 2 when x = 5,42,Square 5 then multiply 3 by 5 and add all terms
3,4x² - 5x + 1 when x = 3,22,Square 3 multiply by 4 then subtract 5 times 3 and add 1
3,2(x² + 1) when x = 4,34,Square 4 add 1 then multiply everything by 2
3,3x² - x + 4 when x = 2,10,Square 2 multiply by 3 subtract x and add 4
3,(x + 3)(x - 2) when x = 6,36,Substitute 6 to get 9 times 4
3,5(2x - 1) - 3x when x = 4,27,Replace x with 4 then distribute and subtract
3,2x² + 4x - 7 when x = 3,23,Square 3 multiply by 2 add 4 times 3 and subtract 7
3,x² - 4x + 8 when x = 5,13,Square 5 subtract 4 times 5 then add 8
3,3(x² - 2) when x = 3,21,Square 3 subtract 2 then multiply by 3
3,6x - 2(x - 3) when x = 5,38,Substitute 5 then distribute -2 and combine
3,x² + 2x - 4 when x = 6,44,Square 6 add 2 times 6 then subtract 4
3,2x² - 5x + 3 when x = 4,15,Square 4 multiply by 2 subtract 5 times 4 and add 3
3,(x + 2)(x + 3) when x = 4,42,Substitute 4 to get 6 times 7
3,3x² + 2x - 1 when x = 2,15,Square 2 multiply by 3 add 2 times 2 and subtract 1
