Difficulty,Question,Answer,Hint
1,x + 5 = 9,4,Subtract 5 from both sides
1,x + 3 = 7,4,Subtract 3 from both sides
1,2 = x + 1,1,Subtract 1 from both sides
1,x + 8 = 9,1,Subtract 8 from both sides
1,x + 4 = 7,3,Subtract 4 from both sides
1,x + 8 = 8,0,Subtract 8 from both sides
1,6 = x + 3,3,Subtract 3 from both sides
1,x + 5 = 8,3,Subtract 5 from both sides
1,4 = x + 2,2,Subtract 2 from both sides
1,x + 6 = 9,3,Subtract 6 from both sides
1,x - 1 = 2,3,Add 1 to both sides
1,x - 3 = 2,5,Add 3 to both sides
1,4 = x - 1,5,Add 1 to both sides
1,x - 8 = 1,9,Add 8 to both sides
1,x - 4 = 1,5,Add 4 to both sides
1,6 = x - 2,8,Add 2 to both sides
1,5 = x - 3,8,Add 3 to both sides
1,x - 5 = 2,7,Add 5 to both sides
1,2 = x - 2,4,Add 2 to both sides
1,x - 6 = 3,9,Add 6 to both sides
2,x + 12 = 5,-7,Subtract 12 from both sides
2,15 = x + 7,8,Subtract 7 from both sides
2,x + 15 = 18,3,Subtract 15 from both sides
2,x + 10 = 21,11,Subtract 10 from both sides
2,17 = x + 5,12,Subtract 5 from both sides
2,x + 19 = 15,-4,Subtract 19 from both sides
2,18 = x + 9,9,Subtract 9 from both sides
2,x + 11 = 12,1,Subtract 11 from both sides
2,x + 20 = 15,-5,Subtract 20 from both sides
2,x + 13 = 2,-11,Subtract 13 from both sides
2,x - 9 = 6,15,Add 9 to both sides
2,14 = x - 7,21,Add 7 to both sides
2,x - 10 = 8,18,Add 10 to both sides
2,x - 16 = 2,18,Add 16 to both sides
2,6 = x - 5,11,Add 5 to both sides
2,x - 5 = 4,9,Add 5 to both sides
2,11 = x - 2,13,Add 2 to both sides
2,x - 4 = 12,16,Add 4 to both sides
2,x - 2 = 5,7,Add 2 to both sides
2,x - 1 = -1,0,Add 1 to both sides
3,2x = 4,2,Divide both sides by 2
3,6x = 18,3,Divide both sides by 6
3,3x = 3,1,Divide both sides by 3
3,5x = 15,3,Divide both sides by 5
3,4x = 8,2,Divide both sides by 4
3,2x = -6,-3,Divide both sides by 2
3,3x = -15,-5,Divide both sides by 6
3,2x = -12,-6,Divide both sides by 3
3,8x = -8,-1,Divide both sides by 5
3,5x = -30,-6,Divide both sides by 4
3,ˣ⁄₂ = 2,4,Multiply both sides by 2
3,ˣ⁄₃ = 4,12,Multiply both sides by 3
3,ˣ⁄₄ = 5,20,Multiply both sides by 5
3,ˣ⁄₂ = 3,6,Multiply both sides by 2
3,ˣ⁄₅ = 2,10,Multiply both sides by 5
3,ˣ⁄₈ = 2,16,Multiply both sides by 8
3,ˣ⁄₃ = 5,15,Multiply both sides by 3
3,ˣ⁄₄ = 3,12,Multiply both sides by 4
3,ˣ⁄₂ = 7,14,Multiply both sides by 2
3,ˣ⁄₆ = 4,24,Multiply both sides by 6
