Difficulty,Question,Answer,Hint
1,4² = ?,16,Multiply the base by itself two times (4×4)
1,3³ = ?,27,Remember this means 3×3×3
1,10² = ?,100,Remember this means 10x10
1,2³ = ?,8,Remember this means 2x2 then multiply that by 2
1,5² = ?,25,Remember this means 5x5
1,0³ = ?,0,Any power of 0 (except 0⁰) is 0
1,7² = ?,49,Remember this means 7x7
1,6¹ = ?,6,Any number with exponent 1 stays the same
1,5³ = ?,125,Remember this means 5×5×5
1,11² = ?,121,Multiply 11 by itself
1,2⁴ = ?,16,Remember this means 2×2×2×2
1,9² = ?,81,The base is 9
1,3⁴ = ?,81,Remember this means 3×3×3×3
1,12² = ?,144,The square of 12
1,0² = ?,0,Any power of 0 (except 0⁰) is 0
1,4³ = ?,64,Remember this means 4x4x4
1,6² = ?,36,Remember this means 6x6
1,1⁴ = ?,1,Exponent's don't affect the value of 1
1,1² = ?,1,Exponent's don't affect the value of 1
1,2² = ?,4,Remember this means 2x2
1,8² = ?,64,Remember this means 8×8
2,2³ + 3² = ?,17,Calculate 8 + 9
2,5² - 4² = ?,9,Calculate 25 - 16
2,3² + 2³ = ?,17,Find 9 plus 8
2,4² + 1³ = ?,17,Calculate 16 + 1
2,6² - 5² = ?,11,Find the difference: 36 - 25
2,2⁴ + 2² = ?,20,Calculate 16 + 4
2,10² - 8² = ?,36,Calculate 100 - 64
2,3³ - 2³ = ?,19,Find 27 - 8
2,5² + 3² = ?,34,Calculate 25 + 9
2,7² - 3² = ?,40,Find 49 - 9
2,2³ x 3 = ?,24,Calculate 8 × 3
2,4² - 2³ = ?,8,Find 16 - 8
2,3² x 2 = ?,18,Multiply 9 by 2
2,6² - 4² = ?,20,Calculate 36 - 16
2,2⁵ - 3² = ?,23,Find 32 - 9
2,5² + 2⁴ = ?,41,Calculate 25 + 16
2,3³ + 1² = ?,28,Find 27 + 1
2,8² - 7² = ?,15,Calculate 64 - 49
2,4³ - 5² = ?,39,Find 64 - 25
2,2² + 3² + 1² = ?,14,Add 4 + 9 + 1
2,10² - 9² = ?,19,Calculate 100 - 81
2,6² + 2³ = ?,44,Find 36 + 8
2,5³ - 10² = ?,25,Calculate 125 - 100
2,3⁴ - 4² = ?,65,Find 81 - 16
2,7² + 2² = ?,53,Calculate 49 + 4
3,2⁴ + 3³ - 5² = ?,18,Calculate 16 + 27 - 25
3,5² × 2 - 3³ = ?,23,Find 50 - 27
3,10² ÷ 4 + 2³ = ?,33,Calculate 25 + 8
3,6² - 2⁴ + 3² = ?,29,Find 36 - 16 + 9
3,3³ + 4² - 2³ = ?,35,Calculate 27 + 16 - 8
3,8² ÷ 2 + 3² = ?,41,Find 32 + 9
3,5³ - 10² + 4² = ?,41,Calculate 125 - 100 + 16
3,7² + 2³ - 4² = ?,41,Find 49 + 8 - 16
3,4³ ÷ 8 + 5² = ?,33,Calculate 8 + 25
3,9² - 6² + 2⁴ = ?,61,Find 81 - 36 + 16
3,2⁵ + 3² - 2³ = ?,33,Calculate 32 + 9 - 8
3,6² + 4² - 5² = ?,27,Find 36 + 16 - 25
3,3⁴ - 2⁵ + 3² = ?,58,Calculate 81 - 32 + 9
3,10² - 7² + 2³ = ?,59,Find 100 - 49 + 8
3,5² × 3 - 4³ = ?,11,Calculate 75 - 64
3,8² - 4² + 3³ = ?,75,Find 64 - 16 + 27
3,12² ÷ 4 - 2⁴ = ?,20,Calculate 36 - 16
3,7² - 3³ + 4² = ?,38,Find 49 - 27 + 16
3,2⁶ - 5² - 3² = ?,30,Calculate 64 - 25 - 9
3,11² - 10² + 2³ = ?,29,Find 121 - 100 + 8
3,4² + 5² - 6² = ?,5,Calculate 16 + 25 - 36
3,3³ × 2 - 7² = ?,5,Find 54 - 49
3,9² - 2⁵ + 4² = ?,65,Calculate 81 - 32 + 16
3,6³ ÷ 9 + 5² = ?,49,Find 24 + 25
3,13² - 12² + 3² = ?,34,Calculate 169 - 144 + 9
