Difficulty,Question,Answer,Hint
1,x² · x³ = ?,x^5,When multiplying powers add the exponents: 2 + 3
1,x⁴ · x² = ?,x^6,Add the exponents: 4 + 2 = 6
1,x · x³ = ?,x^4,Remember x is the same as x¹ so 1 + 3
1,x⁵ · x = ?,x^6,Add the exponents: 5 + 1 = 6
1,x³ · x³ = ?,x^6,When bases are same add exponents: 3 + 3
1,x² · x⁴ = ?,x^6,Add the exponents: 2 + 4
1,x · x² = ?,x^3,Remember x means x¹ so add 1 + 2
1,x⁶ · x² = ?,x^8,Add the exponents: 6 + 2
1,x⁴ · x⁴ = ?,x^8,When multiplying add the exponents: 4 + 4
1,x³ · x² = ?,x^5,Add the exponents: 3 + 2 = 5
1,x⁵ · x³ = ?,x^8,When bases are the same add exponents
1,x · x⁴ = ?,x^5,x is x¹ so add 1 + 4
1,x² · x² = ?,x^4,Add the exponents: 2 + 2 = 4
1,x⁷ · x = ?,x^8,Add the exponents: 7 + 1
1,x · x = ?,x^2,x times x equals x²
1,x⁶ · x³ = ?,x^9,When multiplying powers add exponents: 6 + 3
1,x⁴ · x³ = ?,x^7,Add the exponents: 4 + 3
1,x² · x⁵ = ?,x^7,When bases match add the exponents
1,x⁸ · x = ?,x^9,Remember x is x¹ so 8 + 1
1,x³ · x⁴ = ?,x^7,Add the exponents: 3 + 4 = 7
1,x⁵ · x⁵ = ?,x^10,When multiplying add exponents: 5 + 5
1,x · x⁶ = ?,x^7,x means x¹ so add 1 + 6
1,x⁹ · x² = ?,x^11,Add the exponents: 9 + 2
1,x⁴ · x⁵ = ?,x^9,When bases are same add the exponents
1,x² · x⁶ = ?,x^8,Add the exponents: 2 + 6 = 8
2,x⁶ ÷ x²=?,x^4,When dividing powers subtract the exponents: 6 - 2
2,x⁸ ÷ x³=?,x^5,Subtract the exponents: 8 - 3 = 5
2,x⁵ ÷ x²=?,x^3,When dividing subtract exponents: 5 - 2
2,(x²)³=?,x^6,Power of a power: multiply exponents 2 × 3
2,(x³)²=?,x^6,Multiply the exponents: 3 × 2 = 6
2,x⁹ ÷ x⁴=?,x^5,Subtract the exponents: 9 - 4
2,(x⁴)²=?,x^8,When raising a power multiply exponents: 4 × 2
2,x⁷ ÷ x³=?,x^4,Subtract the exponents: 7 - 3 = 4
2,(x²)⁴=?,x^8,Multiply the exponents: 2 × 4
2,x¹⁰ ÷ x⁵=?,x^5,When dividing subtract the exponents: 10 - 5
2,x³ · x⁴ ÷ x²=?,x^5,Add first: 3 + 4 = 7 then subtract 2
2,(x³)³=?,x^9,Power of a power: multiply 3 × 3
2,x⁸ ÷ x² ÷ x³=?,x^3,Subtract both: 8 - 2 - 3 = 3
2,x² · (x³)²=?,x^8,First multiply exponents in parentheses then add
2,x¹² ÷ x⁴=?,x^8,Subtract the exponents: 12 - 4
